window,start_date,end_date,trades,win_rate,net_pnl,roi_pct,max_dd,profit_factor
1,2025-02-13,2025-03-15,1,0.0,-27.10835300625604,-0.5421670601251207,0.9658958337003288,0.0
2,2025-02-20,2025-03-22,1,0.0,-31.983092050293635,-0.6396618410058728,1.5429108249624401,0.0
3,2025-02-27,2025-03-29,3,33.33333333333333,-27.3680939988717,-0.547361879977434,1.6217060334292235,0.561089901888719
4,2025-03-06,2025-04-05,3,33.33333333333333,-27.3680939988717,-0.547361879977434,1.6217060334292235,0.561089901888719
5,2025-03-13,2025-04-12,3,33.33333333333333,-27.3680939988717,-0.547361879977434,1.6217060334292235,0.561089901888719
6,2025-03-20,2025-04-19,2,50.0,4.748025939949002,0.09496051879898004,1.14402340088901,1.2734035837555264
7,2025-03-27,2025-04-26,1,100.0,49.6094841786753,0.992189683573506,0.6524093613972377,50.609984178675575
8,2025-04-03,2025-05-03,1,100.0,49.6094841786753,0.992189683573506,0.6524093613972377,50.609984178675575
9,2025-04-10,2025-05-10,2,100.0,111.44609321156713,2.2289218642313426,0.6524093613972377,117.55098677930647
10,2025-04-17,2025-05-17,3,66.66666666666666,82.84602412539061,1.656920482507812,1.264845156225138,3.7117965104289548
11,2025-04-24,2025-05-24,3,33.33333333333333,10.074853701135908,0.20149707402271816,1.7128454593158076,1.2462240336769488
12,2025-05-01,2025-05-31,3,33.33333333333333,10.074853701135908,0.20149707402271816,1.7128454593158076,1.2462240336769488
13,2025-05-08,2025-06-07,2,0.0,-52.70412808562651,-1.05408256171253,1.6712335738313533,0.0
14,2025-05-15,2025-06-14,3,33.33333333333333,-17.087617122411757,-0.34175234244823516,1.0723330297825338,0.701195836818802
15,2025-05-22,2025-06-21,4,25.0,-49.41686846133689,-0.9883373692267378,2.1601353163766075,0.42242231604259867
16,2025-05-29,2025-06-28,4,25.0,-33.60171951438042,-0.6720343902876084,2.2384365600829113,0.42242231604259867
17,2025-06-05,2025-07-05,6,33.33333333333333,-9.942350859662838,-0.19884701719325676,2.4587836214065457,0.9615062342838836
18,2025-06-12,2025-07-12,5,40.0,43.65625521405582,0.8731251042811163,1.4014791150805104,1.5493491921596263
19,2025-06-19,2025-07-19,5,60.0,128.19616563543786,2.5639233127087575,1.2417540925267316,3.4320565454336798
20,2025-06-26,2025-07-26,4,50.0,62.40188674574347,1.2480377349148692,1.0894536423310788,2.227744256090451
21,2025-07-03,2025-08-02,4,50.0,68.89541612816629,1.3779083225633257,0.9903706274614923,2.5142520442937264
22,2025-07-10,2025-08-09,3,33.33333333333333,4.12077059420244,0.08241541188404881,0.9903706274615003,1.1500756580435796
23,2025-07-17,2025-08-16,5,20.0,-73.99488040296637,-1.4798976080593276,1.8809180897721094,0.3325817319838632
24,2025-07-24,2025-08-23,5,20.0,-74.91406853896751,-1.4982813707793503,1.9594427910248549,0.3325996389799809
25,2025-07-31,2025-08-30,5,20.0,-87.99251965868734,-1.759850393173747,2.5189999673308665,0.2936949199442851
26,2025-08-07,2025-09-06,6,16.666666666666664,-115.08733721050885,-2.3017467442101767,3.0563244571357844,0.24019272203218542
27,2025-08-14,2025-09-13,3,0.0,-48.51550787238739,-0.9703101574477478,1.734013496628213,0.0
28,2025-08-21,2025-09-20,4,25.0,-38.691893409172735,-0.7738378681834547,1.6890763426620288,0.5458462652457597
29,2025-08-28,2025-09-27,3,33.33333333333333,-8.499253012631016,-0.1699850602526203,1.102864234957053,0.8839358778949569
30,2025-09-04,2025-10-04,6,66.66666666666666,149.6807382093284,2.9936147641865682,0.7621137547623509,3.629482243457605
31,2025-09-11,2025-10-11,8,50.0,64.41927021424817,1.2883854042849634,1.4633633269477653,1.7114691237177706
32,2025-09-18,2025-10-18,7,57.14285714285714,88.47823432482983,1.7695646864965966,1.463363326947759,2.200542106634278
33,2025-09-25,2025-10-25,8,50.0,51.58318745318138,1.0316637490636276,2.5160439419477685,1.5847549544909474
34,2025-10-02,2025-11-01,5,20.0,-51.621034806304124,-1.0324206961260824,2.5157946665251947,0.578842713331719
35,2025-10-09,2025-11-08,3,33.33333333333333,5.019301329492919,0.10038602658985839,1.1602641619809693,1.1411158469133702
36,2025-10-16,2025-11-15,4,25.0,-26.623782754411877,-0.5324756550882376,1.496552747040242,0.7414245434364914
37,2025-10-23,2025-11-22,3,33.33333333333333,-20.73223531646272,-0.41464470632925443,1.5842093849580883,0.6829537358868418
38,2025-10-30,2025-11-29,1,0.0,-46.053307033076635,-0.9210661406615327,1.7466828662611251,0.0
39,2025-11-06,2025-12-06,2,0.0,-64.31217094031217,-1.2862434188062435,2.0112783114839616,0.0
40,2025-11-13,2025-12-13,1,0.0,-32.908256330367294,-0.6581651266073458,1.0145002685362516,0.0
41,2025-11-20,2025-12-20,1,0.0,-32.908256330367294,-0.6581651266073458,1.0145002685362516,0.0
42,2025-11-27,2025-12-27,0,0.0,0.0,0.0,0.0,0.0
43,2025-12-04,2026-01-03,1,0.0,23.74244791516867,0.47484895830337337,1.188740131138352,0.0
44,2025-12-11,2026-01-10,4,50.0,45.703123857910214,0.9140624771582043,1.188740131138352,2.001981507085659
45,2025-12-18,2026-01-17,7,42.857142857142854,44.28879061510543,0.8857758123021084,2.2547066072612996,1.4522461020859545
46,2025-12-25,2026-01-24,6,50.0,77.68877700253961,1.5537755400507922,1.1887168591852721,2.0201245839330233
47,2026-01-01,2026-01-31,4,50.0,59.48665016170162,1.1897330032340325,0.904125657773977,2.0524750631543167
48,2026-01-08,2026-02-07,2,50.0,31.69474745775642,0.6338949491551285,0.9041256577739653,2.047783570440815
